baths,beds,addressZipcode,addressCity,detailUrl,area,price,property_age
3.0,5.0,98074,Sammamish,https://www.zillow.com/homedetails/1653-204th-Ave-NE-Sammamish-WA-98074/49043874_zpid/,3330.0,2496900.0,42
3.0,3.0,98074,Sammamish,https://www.zillow.com/homedetails/22410-NE-20th-St-Sammamish-WA-98074/48757331_zpid/,1960.0,1255600.0,43
3.0,4.0,98074,Sammamish,https://www.zillow.com/homedetails/22901-NE-14th-St-Sammamish-WA-98074/48744666_zpid/,2720.0,1628800.0,39
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/24356-SE-43rd-Pl-Issaquah-WA-98029/48903790_zpid/,2160.0,1414700.0,33
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/1840-25th-Ave-NE-APT-201-Issaquah-WA-98029/82366251_zpid/,1134.0,733200.0,35
5.0,5.0,98029,Sammamish,https://www.zillow.com/homedetails/3804-274th-Ave-SE-Issaquah-WA-98029/89821842_zpid/,3630.0,1639100.0,35
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/1372-NE-Hickory-Ln-Issaquah-WA-98029/112896119_zpid/,1720.0,1058200.0,36
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/4211-243rd-Ave-SE-Issaquah-WA-98029/48903726_zpid/,1910.0,1267100.0,41
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/4063-220th-Pl-SE-2046-Sammamish-WA-98029/48736812_zpid/,1112.0,306600.0,36
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/4081-224th-Ln-SE-APT-214-Issaquah-WA-98029/49117365_zpid/,1269.0,428400.0,31
5.0,5.0,98029,Sammamish,https://www.zillow.com/homedetails/26507-SE-Old-Black-Nugget-Rd-Issaquah-WA-98029/305508060_zpid/,5420.0,3249300.0,34
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/4425-Providence-Point-Pl-SE-3002-Issaquah-WA-98029/48814567_zpid/,1732.0,837400.0,39
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/4204-243rd-Pl-SE-Issaquah-WA-98029/48903740_zpid/,1440.0,892100.0,33
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/3804-243rd-Pl-SE-Issaquah-WA-98029/48903988_zpid/,1980.0,1249400.0,35
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/1760-25th-Ave-NE-Issaquah-WA-98029/67683193_zpid/,2080.0,1257400.0,42
2.5,2.0,98029,Sammamish,https://www.zillow.com/homedetails/4305-E-Lake-Sammamish-Pkwy-SE-4305-Issaquah-WA-98029/67685477_zpid/,2134.0,2454900.0,37
3.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/4305-E-Lake-Sammamish-Pkwy-SE-Issaquah-WA-98029/453037168_zpid/,2134.0,2598800.0,35
1.0,1.0,98029,Sammamish,https://www.zillow.com/homedetails/4266-221st-Ct-SE-1090-Issaquah-WA-98029/48736891_zpid/,940.0,398700.0,35
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/4123-244th-Ln-SE-46-Issaquah-WA-98029/48895114_zpid/,1443.0,689500.0,33
3.0,4.0,98029,Sammamish,https://www.zillow.com/homedetails/2066-NE-Nelson-Ln-Issaquah-WA-98029/66650725_zpid/,2612.0,1643900.0,39
2.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/25025-SE-Klahanie-Blvd-APT-C303-Sammamish-WA-98029/80124215_zpid/,1020.0,517200.0,42
